route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
S46,CA_D5-Weekday,CA_D5-Weekday-070500_MISC_265,WEST SHORE PLZ via CASTLETON,1,38311404,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-071700_MISC_269,TELEPORT via CASTLETON,1,38311421,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-072900_MISC_254,WEST SHORE PLZ via CASTLETON,1,38311418,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-076500_S4696_52,TELEPORT via CASTLETON,1,38311393,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-077700_MISC_342,WEST SHORE PLZ via CASTLETON,1,38311415,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-078900_MISC_271,TELEPORT via CASTLETON,1,38311397,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-081300_S4696_57,TELEPORT via CASTLETON,1,38311417,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-084000_MISC_261,TELEPORT via CASTLETON,1,38311401,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-085000_MISC_265,WEST SHORE PLZ via CASTLETON,1,38311404,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-086000_MISC_269,TELEPORT via CASTLETON,1,38311421,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-087000_S4696_58,WEST SHORE PLZ via CASTLETON,1,38311429,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-088000_S4696_59,TELEPORT via CASTLETON,1,38311425,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-089000_S4696_50,WEST SHORE PLZ via CASTLETON,1,38311389,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-094000_MISC_370,TELEPORT via CASTLETON,1,38311397,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-096300_S4696_63,MARINRS HBR via CASTLETON,1,38311424,S460364
S46,CA_D5-Weekday,CA_D5-Weekday-097500_S4696_62,TELEPORT via CASTLETON,1,38311401,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-112800_S4696_64,WEST SHORE PLZ via CASTLETON,1,38311429,S460357
S96,CA_D5-Weekday,CA_D5-Weekday-114000_MISC_345,LIMITED W SHORE PLZ via CASTLETON,1,38311432,S960120
S46,CA_D5-Weekday,CA_D5-Weekday-117000_S4696_61,WEST SHORE PLZ via CASTLETON,1,38311426,S460357
S96,CA_D5-Weekday,CA_D5-Weekday-121000_S4696_58,LIMITED W SHORE PLZ via CASTLETON,1,38311425,S960120
S96,CA_D5-Weekday,CA_D5-Weekday-123000_MISC_337,LIMITED W SHORE PLZ via CASTLETON,1,38311427,S960120
S96,CA_D5-Weekday,CA_D5-Weekday-129000_MISC_382,LIMITED W SHORE PLZ via CASTLETON,1,38311414,S960120
S96,CA_D5-Weekday,CA_D5-Weekday-132000_S4696_59,LIMITED W SHORE PLZ via CASTLETON,1,38311397,S960120
S46,CA_D5-Weekday,CA_D5-Weekday-135000_S4696_63,WEST SHORE PLZ via CASTLETON,1,38311419,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-138300_MISC_382,WEST SHORE PLZ via CASTLETON,1,38311414,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-141000_S4696_60,WEST SHORE PLZ via CASTLETON,1,38311405,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-119500_S4696_59,WEST SHORE PLZ via CASTLETON,1,38311397,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-121300_S4696_63,WEST SHORE PLZ via CASTLETON,1,38311419,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-123300_S4696_57,MARINRS HBR via CASTLETON,1,38311410,S460364
